#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         152     2.61509     2.61488 4.59699e-05
         153     2.61501     2.61488 4.56768e-05
         154     2.61492     2.61488 4.53807e-05
         155     2.61483     2.61488 4.50894e-05
         156     2.61473     2.61488 4.48113e-05
         157     2.61463     2.61488 4.45551e-05
         158     2.61453     2.61488  4.4327e-05
         159     2.61444     2.61488 4.41342e-05
         160     2.61435     2.61487 4.39826e-05
         161     2.61425     2.61487 4.38784e-05
         162     2.61416     2.61486 4.38238e-05
         163     2.61408     2.61486 4.38192e-05
         164       2.614     2.61485  4.3865e-05
         165     2.61392     2.61485 4.39638e-05
         166     2.61384     2.61484 4.41138e-05
         167     2.61378     2.61484 4.43098e-05
         168     2.61372     2.61483 4.45453e-05
         169     2.61366     2.61482 4.48153e-05
         170     2.61361     2.61482 4.51143e-05
         171     2.61356     2.61481 4.54409e-05
         172     2.61353      2.6148 4.57848e-05
         173     2.61349     2.61479 4.61423e-05
         174     2.61346     2.61479 4.65103e-05
         175     2.61343     2.61478 4.68812e-05
         176     2.61341     2.61477 4.72502e-05
         177      2.6134     2.61476 4.76132e-05
         178     2.61339     2.61475 4.79622e-05
         179     2.61339     2.61475 4.82985e-05
         180     2.61338     2.61474 4.86215e-05
         181     2.61338     2.61473  4.8927e-05
         182     2.61339     2.61472 4.92115e-05
         183      2.6134     2.61472 4.94757e-05
         184     2.61341     2.61471 4.97171e-05
         185     2.61341      2.6147 4.99389e-05
         186     2.61344      2.6147 5.01322e-05
         187     2.61346     2.61469 5.02994e-05
         188     2.61347     2.61468 5.04459e-05
         189     2.61349     2.61468 5.05738e-05
         190      2.6135     2.61467 5.06836e-05
         191     2.61352     2.61466 5.07744e-05
         192     2.61354     2.61466 5.08456e-05
         193     2.61356     2.61465  5.0898e-05
         194     2.61359     2.61465 5.09301e-05
         195     2.61361     2.61464 5.09482e-05
         196     2.61363     2.61464 5.09518e-05
         197     2.61364     2.61463 5.09417e-05
         198     2.61366     2.61463 5.09211e-05
         199     2.61368     2.61462 5.08862e-05
         200      2.6137     2.61462 5.08422e-05
         201     2.61371     2.61461 5.07876e-05
         202     2.61373     2.61461 5.07222e-05
         203     2.61375      2.6146 5.06477e-05
         204     2.61377      2.6146 5.05629e-05
         205     2.61379      2.6146 5.04703e-05
