#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         168     2.93779     2.95517 0.000973151
         169      2.9388     2.95507 0.000972202
         170     2.93986     2.95498 0.000970593
         171     2.94097      2.9549 0.000968368
         172     2.94213     2.95483 0.000965578
         173     2.94333     2.95476  0.00096228
         174     2.94457      2.9547 0.000958531
         175     2.94583     2.95465 0.000954393
         176     2.94712     2.95461  0.00094993
         177     2.94842     2.95457 0.000945205
         178     2.94974     2.95454 0.000940284
         179     2.95108     2.95453  0.00093523
         180     2.95241     2.95451 0.000930108
         181     2.95375     2.95451 0.000924979
         182     2.95509     2.95451 0.000919902
         183     2.95643     2.95452 0.000914935
         184     2.95776     2.95454 0.000910132
         185     2.95908     2.95457 0.000905543
         186     2.96039      2.9546 0.000901216
         187     2.96169     2.95463 0.000897194
         188     2.96297     2.95468 0.000893517
         189     2.96424     2.95473  0.00089022
         190     2.96549     2.95479 0.000887334
         191     2.96672     2.95485 0.000884886
         192     2.96794     2.95492 0.000882899
         193     2.96914     2.95499 0.000881393
         194     2.97031     2.95507 0.000880381
         195     2.97147     2.95515 0.000879876
         196     2.97261     2.95524 0.000879884
         197     2.97373     2.95534 0.000880409
         198     2.97483     2.95544 0.000881452
         199     2.97592     2.95554 0.000883012
         200     2.97698     2.95565 0.000885082
         201     2.97803     2.95576 0.000887655
         202     2.97905     2.95587 0.000890723
         203     2.98006     2.95599 0.000894272
         204     2.98106     2.95611 0.000898289
         205     2.98203     2.95624  0.00090276
         206     2.98299     2.95637 0.000907668
         207     2.98393      2.9565 0.000912996
         208     2.98486     2.95664 0.000918726
         209     2.98577     2.95678 0.000924839
         210     2.98666     2.95692 0.000931316
         211     2.98754     2.95707 0.000938137
         212      2.9884     2.95721 0.000945283
         213     2.98925     2.95736 0.000952735
         214     2.99008     2.95752 0.000960471
         215      2.9909     2.95767 0.000968474
         216     2.99171     2.95783 0.000976724
         217      2.9925     2.95799 0.000985201
         218     2.99328     2.95815 0.000993889
         219     2.99404     2.95832  0.00100277
         220     2.99479     2.95848  0.00101182
         221     2.99553     2.95865  0.00102103
         222     2.99625     2.95882  0.00103039
         223     2.99696     2.95899  0.00103987
         224     2.99766     2.95916  0.00104945
         225     2.99834     2.95934  0.00105914
         226     2.99902     2.95951  0.00106891
         227     2.99968     2.95969  0.00107874
         228     3.00032     2.95987  0.00108863
         229     3.00096     2.96005  0.00109857
         230     3.00158     2.96023  0.00110853
         231     3.00219     2.96041  0.00111852
         232     3.00279     2.96059  0.00112852
         233     3.00338     2.96078  0.00113852
         234     3.00395     2.96096  0.00114851
         235     3.00452     2.96115  0.00115848
         236     3.00507     2.96133  0.00116842
         237     3.00561     2.96152  0.00117834
         238     3.00614     2.96171  0.00118821
         239     3.00666     2.96189  0.00119803
         240     3.00716     2.96208  0.00120779
         241     3.00766     2.96227   0.0012175
         242     3.00814     2.96246  0.00122713
         243     3.00862     2.96265   0.0012367
         244     3.00908     2.96284  0.00124618
         245     3.00954     2.96303  0.00125559
