# VELOCITY:     AVE_POFV:        ERROR:
    0.133333  0.00590712 4.74474e-05
         0.4   0.0440208 0.000136235
    0.666667   0.0993455 0.000198478
    0.933333    0.201037 0.000263641
         1.2    0.290285 0.000345325
     1.46667    0.359289 0.000361284
     1.73333    0.384013 0.000386239
           2    0.414829 0.000386305
     2.26667    0.406215 0.000397025
     2.53333    0.366801  0.00034885
         2.8    0.333118 0.000347787
     3.06667    0.270224 0.000301997
     3.33333    0.202168 0.000279535
         3.6    0.132548 0.000213544
     3.86667   0.0923016 0.000188543
     4.13333   0.0614345 0.000152016
         4.4   0.0432552 0.000126708
     4.66667    0.020546 0.000101069
     4.93333   0.0094145 6.72782e-05
         5.2   0.0089796 6.18951e-05
     5.46667   0.0032487 3.68762e-05
     5.73333 0.000792535 1.83339e-05
           6 1.30208e-05 2.37682e-06
     6.26667 0.000145833 7.93914e-06
     6.53333 6.85764e-05 5.45025e-06
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
