# Generation Best_Length AvgBestHalf
284 68.5333 69.9725
285 68.5333 69.9719
286 68.5333 69.9719
287 68.5333 69.9713
288 68.4716 69.9702
289 68.4425 69.9676
290 68.4425 69.9603
291 68.4425 69.9493
292 68.4425 69.9401
293 68.4425 69.9366
294 68.1428 69.9354
295 68.1428 69.8881
296 68.1428 69.8053
297 68.1428 69.7865
298 68.1428 69.7848
299 68.1428 69.7733
300 68.1428 69.7331
301 68.1428 69.6996
302 68.1428 69.6973
303 68.1428 69.6937
304 68.1428 69.6873
305 68.1428 69.6781
306 68.1428 69.6486
307 68.1428 69.6248
308 68.1428 69.6241
309 68.1428 69.6169
310 68.1428 69.6054
311 68.1428 69.5916
312 68.1428 69.5787
313 68.1428 69.5698
314 68.1428 69.5685
315 68.1428 69.5692
316 68.1428 69.5686
317 68.1428 69.5685
318 68.1428 69.5685
319 68.1428 69.5685
320 68.1428 69.5685
321 68.1428 69.5685
322 68.1428 69.5685
323 68.1428 69.5685
324 68.0213 69.5663
325 68.0213 69.5501
326 68.0213 69.5134
327 67.8493 69.479
328 67.8493 69.4665
329 67.8493 69.4588
330 67.8493 69.451
331 67.8493 69.4325
332 67.8493 69.4184
333 67.8493 69.4139
334 67.7153 69.0866
335 67.7153 68.1397
336 67.7153 67.8492
337 67.7153 67.8356
338 67.7153 67.8356
339 67.7153 67.8356
340 67.7153 67.8356
341 67.4951 67.8354
342 67.4951 67.8251
343 67.4951 67.8039
344 67.4951 67.7948
345 67.4951 67.7804
346 67.4951 67.7749
347 67.4951 67.7687
348 67.4951 67.7681
349 67.4951 67.7611
350 67.4951 67.7508
351 67.4951 67.7353
352 67.4951 67.7114
353 67.4951 67.7
354 67.4951 67.6816
355 67.4951 67.679
356 67.4449 67.6788
357 67.4449 67.6661
358 67.4449 67.6451
359 67.4449 67.6278
360 67.4449 67.5885
361 67.4449 67.5794
362 67.4449 67.5794
363 67.4449 67.5794
364 67.4449 67.5793
365 67.4449 67.5754
366 67.4449 67.5647
367 67.4449 67.5589
368 67.4449 67.5581
369 67.4449 67.5581
370 67.4449 67.5581
371 67.4449 67.5581
372 67.3819 67.5581
373 67.3819 67.5561
374 67.1233 67.5529
375 67.1233 67.5421
376 67.0794 67.5245
377 67.0794 67.5218
378 67.0794 67.5193
379 66.9223 67.5187
380 66.9223 67.4875
381 66.9223 67.4396
382 66.9223 67.4217
383 66.9223 67.4204
384 66.9223 67.4204
385 66.8605 67.4201
386 66.8605 67.416
387 66.8605 67.3746
388 66.6637 67.3626
389 66.6637 67.3523
390 66.6637 67.3392
391 66.6637 67.3392
392 66.6637 67.3392
393 66.6637 67.3392
394 66.6637 67.3392
395 66.6637 67.3392
396 66.6637 67.3392
397 66.6637 67.3392
398 66.6637 67.3392
399 66.6637 67.3391
400 66.6637 67.3359
401 66.6637 67.3304
402 66.6637 67.3301
403 66.6637 67.3301
404 66.6637 67.3301
405 66.6637 67.3301
406 66.6637 67.3301
407 66.6637 67.3301
408 66.6637 67.3301
409 66.6637 67.329
410 66.6637 67.3272
411 66.6637 67.3238
412 66.6637 67.3169
413 66.6637 67.3166
414 66.6637 67.3164
415 66.6637 67.305
416 66.6637 67.2874
417 66.6637 67.2767
418 66.6637 67.2613
419 66.6637 67.2597
420 66.6637 67.2597
421 66.6637 67.2597
422 66.2893 67.2595
423 66.2893 67.2466
424 66.2893 67.2293
425 66.2893 67.225
426 66.2893 67.2207
427 66.2893 67.2138
428 66.2893 67.2135
429 66.2893 67.2135
430 66.2893 67.2134
431 66.2893 67.2071
432 66.2893 67.1986
433 66.2893 67.1986
434 66.2893 67.1986
435 66.2893 67.1983
436 66.2893 67.1833
437 66.2893 67.1454
438 66.2893 67.1209
439 66.2893 67.1167
440 66.2893 67.1106
441 66.2893 67.1128
442 66.2893 67.1125
443 66.2893 67.1103
444 66.2893 67.1103
445 66.2454 66.9636
446 66.2454 66.4299
447 66.0504 66.2636
448 66.0504 66.2458
449 66.0504 66.2353
450 66.0504 66.2255
451 66.0504 66.215
452 66.0504 66.2128
453 65.9873 66.2111
454 65.9873 66.2087
455 65.9873 66.2057
456 65.9873 66.2053
457 65.9873 66.2012
458 65.9873 66.1943
459 65.9873 66.1938
460 65.9873 66.1927
461 65.9873 66.1911
462 65.9873 66.191
463 65.9873 66.191
464 65.9873 66.191
465 65.9873 66.19
466 65.9873 66.1885
467 65.9873 66.1881
468 65.9873 66.1881
469 65.9873 66.1859
470 65.9873 66.1882
471 65.9873 66.1954
472 65.9873 66.1824
473 65.9873 66.1824
474 65.9873 66.1824
475 65.9873 66.1824
476 65.9873 66.1802
477 65.9873 66.1744
478 65.9873 66.1712
479 65.9873 66.1709
480 65.9873 66.1709
481 65.9873 66.1709
482 65.9873 66.1709
483 65.9873 66.1709
484 65.9873 66.1709
485 65.9873 66.1709
486 65.9873 66.1709
487 65.9873 66.1709
488 65.9873 66.1676
489 65.9873 66.1626
490 65.9873 66.1551
491 65.9873 66.1456
492 65.9873 66.1446
493 65.9873 66.1446
494 65.9873 66.1446
495 65.9873 66.1446
496 65.9873 66.1446
497 65.9873 66.1465
498 65.9873 66.1446
499 65.9873 66.1446
500 65.9873 66.1407
501 65.9873 66.1268
502 65.9873 66.115
503 65.9873 66.1149
504 65.9873 66.1149
505 65.9873 66.1149
506 65.9873 66.1137
507 65.9873 66.112
508 65.9873 66.112
509 65.9873 66.112
510 65.9873 66.1101
511 65.9873 66.1063
512 65.9873 66.1063
513 65.9873 66.1063
514 65.9873 66.1063
515 65.9873 66.1083
516 65.9873 66.1141
517 65.9873 66.1063
518 65.9873 66.1063
519 65.9873 66.1063
520 65.9873 66.1063
521 65.9873 66.1063
522 65.9873 66.1063
523 65.9873 66.1063
524 65.9873 66.1063
525 65.9873 66.1063
526 65.9873 66.1063
527 65.9873 66.1062
528 65.9873 66.1
529 65.8416 66.0915
530 65.8416 66.0858
531 65.8416 66.0782
532 65.8416 66.0782
533 65.8416 66.0782
534 65.8416 66.0781
535 65.8416 66.0721
536 65.8416 66.0638
537 65.8416 66.0633
538 65.8416 66.0633
539 65.8416 66.0633
540 65.8416 66.0591
541 65.8416 66.051
542 65.8416 66.0484
543 65.8416 66.0484
544 65.8416 66.0484
545 65.8416 66.0484
546 65.8416 66.0484
547 65.8416 66.0484
548 65.8416 66.0484
549 65.8416 66.069
550 65.8416 66.0681
551 65.8416 66.0484
552 65.8416 66.054
553 65.8416 66.0484
554 65.8416 66.0484
555 65.8416 66.0484
556 65.8416 66.0076
557 65.8416 65.8923
558 65.8416 65.8416
559 65.8416 65.8416
560 65.8416 65.8416
561 65.8416 65.8416
562 65.8416 65.8416
563 65.8416 65.8416
564 65.8416 65.8416
565 65.8416 65.8416
566 65.8416 65.8416
567 65.8416 65.8416
568 65.8416 65.8416
569 65.8416 65.8416
570 65.8416 65.8416
571 65.8416 65.8416
572 65.8416 65.8416
573 65.8416 65.8416
574 65.8416 65.8416
575 65.8416 65.8416
576 65.8416 65.8416
577 65.8416 65.8416
578 65.8416 65.8416
579 65.8416 65.8416
580 65.8416 65.8416
581 65.8416 65.8416
582 65.8416 65.8416
583 65.8416 65.8416
584 65.8416 65.8416
585 65.8416 65.8416
586 65.8416 65.8416
587 65.8416 65.8416
588 65.8416 65.8416
589 65.8416 65.8416
590 65.8416 65.8416
591 65.8416 65.8416
592 65.8416 65.8416
593 65.8416 65.8416
594 65.8416 65.8416
595 65.8416 65.8416
596 65.8416 65.8416
597 65.8416 65.8416
598 65.8416 65.8416
599 65.8416 65.8416
600 65.8416 65.8416
601 65.8416 65.8416
602 65.8416 65.8416
603 65.8416 65.8416
604 65.8416 65.8416
605 65.8416 65.8416
606 65.8416 65.8416
607 65.8416 65.8416
608 65.8416 65.8416
609 65.8416 65.8416
610 65.8416 65.8416
611 65.8416 65.8416
612 65.8416 65.8416
613 65.8416 65.8416
614 65.8416 65.8416
615 65.8416 65.8416
616 65.8416 65.8416
617 65.8416 65.8416
618 65.8416 65.8416
619 65.8416 65.8416
620 65.8416 65.8416
621 65.8416 65.8416
622 65.8416 65.8416
623 65.8416 65.8416
624 65.8416 65.8416
625 65.8416 65.8416
626 65.8416 65.8416
627 65.8416 65.8416
628 65.8416 65.8416
629 65.8416 65.8416
630 65.8416 65.8416
631 65.8416 65.8416
632 65.8416 65.8416
633 65.8416 65.8416
634 65.8416 65.8416
635 65.8416 65.8416
636 65.8416 65.8416
637 65.8416 65.8416
638 65.8416 65.8416
639 65.8416 65.8416
640 65.8416 65.8416
641 65.8416 65.8416
642 65.8416 65.8416
643 65.8416 65.8416
644 65.8416 65.8416
645 65.8416 65.8416
646 65.8416 65.8416
647 65.8416 65.8416
648 65.8416 65.8416
649 65.8416 65.8416
650 65.8416 65.8416
651 65.8416 65.8416
652 65.8416 65.8416
653 65.8416 65.8416
654 65.8416 65.8416
655 65.8416 65.8416
656 65.8416 65.8416
657 65.8416 65.8416
658 65.8416 65.8416
659 65.8416 65.8416
660 65.8416 65.8416
661 65.8416 65.8416
662 65.8416 65.8416
663 65.8416 65.8416
664 65.8416 65.8416
665 65.8416 65.8416
666 65.8416 65.8416
667 65.8416 65.8416
668 65.8416 65.8416
669 65.8416 65.8416
670 65.8416 65.8416
671 65.8416 65.8416
672 65.8416 65.8416
673 65.8416 65.8416
674 65.8416 65.8416
675 65.8416 65.8416
676 65.8416 65.8416
677 65.8416 65.8416
678 65.8416 65.8416
679 65.8416 65.8416
680 65.8416 65.8416
681 65.8416 65.8416
682 65.8416 65.8416
683 65.8416 65.8416
684 65.8416 65.8416
685 65.8416 65.8416
686 65.8416 65.8416
687 65.8416 65.8416
688 65.8416 65.8416
689 65.8416 65.8416
690 65.8416 65.8416
691 65.8416 65.8416
692 65.8416 65.8416
693 65.8416 65.8416
694 65.8416 65.8416
695 65.8416 65.8416
696 65.8416 65.8416
697 65.8416 65.8416
698 65.8416 65.8416
699 65.8416 65.8416
700 65.8416 65.8416
701 65.8416 65.8416
702 65.8416 65.8416
703 65.8416 65.8416
704 65.8416 65.8416
705 65.8416 65.8416
706 65.8416 65.8416
707 65.8416 65.8416
708 65.8416 65.8416
709 65.8416 65.8416
710 65.8416 65.8416
711 65.8416 65.8416
712 65.8416 65.8416
713 65.8416 65.8416
714 65.8416 65.8416
715 65.8416 65.8416
716 65.8416 65.8416
717 65.8416 65.8416
718 65.8416 65.8416
719 65.8416 65.8416
720 65.8416 65.8416
721 65.8416 65.8416
722 65.8416 65.8416
723 65.8416 65.8416
724 65.8416 65.8416
725 65.8416 65.8416
726 65.8416 65.8416
727 65.8416 65.8416
728 65.8416 65.8416
729 65.8416 65.8416
730 65.8416 65.8416
731 65.8416 65.8416
732 65.8416 65.8416
733 65.8416 65.8416
734 65.8416 65.8416
735 65.8416 65.8416
736 65.8416 65.8416
737 65.8416 65.8416
738 65.8416 65.8416
739 65.8416 65.8416
740 65.8416 65.8416
