# Generation Best_Length AvgBestHalf
282 69.2678 74.5628
283 69.2678 74.5293
284 69.2678 74.507
285 69.2678 74.4658
286 69.2678 74.4246
287 69.2678 74.4152
288 69.2678 74.3955
289 69.2678 74.3693
290 69.1019 74.3574
291 68.6096 74.3201
292 68.6096 74.2561
293 68.6096 74.2316
294 68.6096 74.208
295 68.6096 74.1931
296 68.6096 74.1842
297 68.6096 74.1838
298 68.6096 74.1836
299 68.6096 74.1768
300 68.6096 74.1687
301 68.6096 74.1573
302 68.6096 74.1405
303 68.6096 74.1282
304 68.6096 74.1046
305 68.6096 74.0746
306 68.6096 74.07
307 68.6096 74.0513
308 68.6096 74.0507
309 68.6096 74.0506
310 68.6096 74.0464
311 68.6096 74.0428
312 68.6096 74.0284
313 68.6096 74.0171
314 68.6096 73.9878
315 68.6096 73.9634
316 68.6096 73.9291
317 68.6096 73.8664
318 68.6096 73.8252
319 68.6096 73.7852
320 68.6096 73.7612
321 68.6096 73.7176
322 68.6096 73.6805
323 68.6096 73.6509
324 68.5317 73.6164
325 68.5317 73.5824
326 68.5317 73.5588
327 68.5317 73.5583
328 68.5317 73.5531
329 68.5317 73.5428
330 68.479 73.5403
331 68.4173 73.5382
332 68.4173 73.525
333 68.4173 73.5077
334 68.4173 73.4989
335 67.6277 73.4931
336 67.6277 73.465
337 67.6277 73.394
338 67.6277 73.3755
339 67.6277 73.3726
340 67.6277 73.3628
341 67.6277 73.3603
342 67.6277 73.3603
343 67.6277 73.3603
344 67.6277 73.3603
345 67.6277 73.3603
346 67.6277 73.3603
347 67.6277 73.36
348 67.6277 73.335
349 67.6277 73.2964
350 67.6277 73.2859
351 67.6277 73.2807
352 67.6277 73.2806
353 67.6277 73.2806
354 67.6277 73.2806
355 67.6277 73.2806
356 67.6277 73.2806
357 67.6277 73.2806
358 67.6277 73.2804
359 67.6277 73.2661
360 67.6277 73.248
361 67.6277 73.248
362 67.6277 73.248
363 67.6277 73.2479
364 67.6277 73.2418
365 67.6277 73.2257
366 67.6277 73.2221
367 67.6277 73.2221
368 67.6277 73.222
369 67.6277 73.2179
370 67.6277 73.2124
371 67.6277 73.2114
372 67.6277 73.2075
373 67.6277 73.1943
374 67.6277 73.179
375 67.6277 73.1744
376 67.6277 73.1738
377 67.6277 73.1484
378 67.6277 73.1053
379 67.6277 73.1053
380 67.6277 73.1053
381 67.6277 73.0995
382 67.6277 73.084
383 67.6277 73.0729
384 67.5744 73.0714
385 67.5744 73.0477
386 67.5744 73.0106
387 67.5744 73.0072
388 67.5744 73.0072
389 67.5744 73.0072
390 67.5744 73.0072
391 67.5744 73.0072
392 67.5744 73.0072
393 67.5744 73.0072
394 67.5744 73.0072
395 67.5744 73.0072
396 67.5744 73.0072
397 67.5744 73.0072
398 67.5744 73.0078
399 67.5744 72.9938
400 67.5744 72.9589
401 67.5744 72.9356
402 67.5744 72.9275
403 67.5744 72.9259
404 67.5161 72.9161
405 67.5161 72.899
406 67.5161 72.8889
407 67.5161 72.8677
408 67.5161 72.8547
409 67.5161 72.8538
410 67.5161 72.8538
411 67.5161 72.8537
412 67.5161 72.8507
413 67.5161 72.8461
414 67.5161 72.8454
415 67.5161 72.8357
416 67.5161 72.8219
417 67.5161 72.8516
418 67.5161 72.8071
419 67.5161 72.7837
420 67.5161 72.7837
421 67.5161 72.7837
422 67.5161 72.7836
423 67.5161 72.7741
424 67.5161 72.7576
425 67.5161 72.7595
426 67.5161 72.7438
427 67.5161 72.7429
428 67.5161 72.7428
429 67.5161 72.7358
430 67.5161 72.7226
431 67.5161 72.7189
432 67.5161 72.7162
433 67.5161 72.7124
434 67.5161 72.7117
435 67.5161 72.7117
436 67.5161 72.7116
437 67.5161 72.7097
438 67.5161 72.7067
439 67.5161 72.7004
440 67.5161 72.7004
441 67.5161 72.7003
442 67.5161 72.692
443 67.5161 72.6758
444 67.5161 72.6756
445 67.5161 72.6756
446 67.5161 72.6756
447 67.5161 72.6756
448 67.5161 72.6756
449 67.5161 72.6755
450 67.5161 72.6716
451 67.5161 72.6403
452 67.5161 72.5973
453 67.5161 72.5918
454 67.5161 72.5872
455 67.5161 72.5864
456 67.5161 72.5431
457 67.5161 72.4844
458 67.5161 72.4771
459 67.5161 72.4838
460 67.5161 72.4855
461 67.5161 72.4771
462 67.5161 72.4771
463 67.5161 72.4771
464 67.5161 72.4771
465 67.5161 72.4769
466 67.5161 72.4669
467 67.5161 72.4356
468 67.5161 72.4401
469 67.5161 72.4035
470 67.5161 72.3399
471 67.5161 72.3293
472 67.5161 72.2889
473 67.5161 72.2257
474 67.5161 72.2238
475 67.5161 72.2236
476 67.5161 72.2181
477 67.5161 72.1809
478 67.5161 72.1493
479 67.5161 72.1457
480 67.5161 72.1457
481 67.5161 72.1457
482 67.5161 72.1457
483 67.5161 72.1457
484 67.5161 72.1457
485 67.5161 72.1457
486 67.5161 72.1457
487 67.5161 72.1457
488 67.5161 72.1456
489 67.5161 72.1368
490 67.5161 72.1222
491 67.5161 72.1164
492 67.5161 72.1164
493 67.5161 72.1164
494 67.5161 72.1164
495 67.5161 72.1164
496 67.5161 72.1161
497 67.5161 72.0994
498 67.5161 72.0595
499 67.5161 72.0459
500 67.5161 72.0441
501 67.5161 72.0371
502 67.3038 72.0255
503 67.1596 71.9748
504 67.1596 71.8927
505 67.1596 71.886
506 67.1596 71.886
507 67.1596 71.886
508 67.1596 71.886
509 67.1596 71.886
510 67.1596 71.886
511 67.1596 71.886
512 67.1596 71.886
513 67.1596 71.886
514 67.1596 71.8819
515 67.1596 71.8763
516 67.1596 71.8739
517 67.1596 71.8596
518 67.1596 71.8345
519 67.1596 71.832
520 67.1596 71.8359
521 67.1596 71.8416
522 67.1596 71.8249
523 67.1596 71.8249
524 67.1596 71.8249
525 67.1596 71.8249
526 67.1596 71.8249
527 67.1596 71.8249
528 67.1596 71.8249
529 67.1596 71.8249
530 67.1596 71.8249
531 67.1596 71.8249
532 67.1596 71.8247
533 67.1596 71.8091
534 67.1596 71.7821
535 67.1596 71.776
536 67.1596 71.7719
537 67.1596 71.771
538 67.1596 71.771
539 67.1596 71.771
540 67.1596 71.771
541 67.1596 71.771
542 67.1596 71.771
543 67.1596 71.771
544 67.1596 71.771
545 67.1596 71.771
546 67.1596 71.771
547 67.1596 71.771
548 67.1596 71.771
549 67.1596 71.771
550 67.1596 71.771
551 67.1596 71.7709
552 67.1596 71.7691
553 67.1596 71.7661
554 67.1596 71.7658
555 67.1596 71.7658
556 67.1596 71.7658
557 67.1596 71.7658
558 67.1596 71.7658
559 67.1596 71.7658
560 67.1596 71.7657
561 67.1596 71.7546
562 67.1596 71.7354
563 67.1596 71.7329
564 67.1596 71.7329
565 67.1596 71.7329
566 67.1596 71.7329
567 67.1596 71.7328
568 67.1596 71.724
569 67.1596 71.7054
570 67.1596 71.6959
571 67.1596 71.6956
572 67.1596 71.6956
573 67.1596 71.6956
574 67.1596 71.6956
575 67.1596 71.6956
576 67.1596 71.6956
577 67.1596 71.6956
578 67.1596 71.6955
579 67.1596 71.6896
580 67.1596 71.6687
581 67.1596 71.6551
582 67.1596 71.6551
583 67.1596 71.6551
584 67.1596 71.6549
585 67.1596 71.6456
586 67.1596 71.6343
587 67.1596 71.6343
588 67.1596 71.6343
589 67.1596 71.6343
590 67.1596 71.6343
591 67.1596 71.6343
592 67.1596 71.6343
593 67.1596 71.6343
594 67.1596 71.6343
595 67.1596 71.6343
596 67.1596 71.6343
597 67.1596 71.6343
598 67.1596 71.6343
599 67.1596 71.6342
600 67.1596 71.631
601 67.1596 71.6228
602 67.1596 71.6202
603 67.1596 71.612
604 67.1596 71.5865
605 67.1596 71.5699
606 67.1596 71.5695
607 67.1596 71.5695
608 67.1596 71.574
609 67.1596 71.5627
610 67.1596 71.5578
611 67.1596 71.5573
612 67.1596 71.5491
613 67.1596 71.5389
614 67.1596 71.5384
615 67.1596 71.5384
616 67.1596 71.5384
617 67.1596 71.5384
618 67.1596 71.5384
619 67.1596 71.5384
620 67.1596 71.5384
621 67.1596 71.5384
622 67.1596 71.5384
623 67.1596 71.5384
624 67.1596 71.5384
625 67.1596 71.5384
626 67.1596 71.5384
627 67.1596 71.5384
628 67.1596 71.5384
629 67.1596 71.5384
630 67.1596 71.5384
631 67.1596 71.5384
632 67.1596 71.5384
633 67.1596 71.5384
634 67.1596 71.5382
635 67.1596 71.5222
636 67.1596 71.4809
637 67.1596 71.4689
638 67.1596 71.4688
639 67.1596 71.4688
640 67.1596 71.4688
641 67.1596 71.4688
642 67.1596 71.4688
643 67.1596 71.4688
644 67.1596 71.4688
645 67.1596 71.4688
646 67.1596 71.4688
647 67.1596 71.4688
648 67.1596 71.4687
649 67.1596 71.4634
650 67.1596 71.4491
651 67.1596 71.4463
652 67.1596 71.4463
653 67.1596 71.4463
654 67.1596 71.4463
655 67.1596 71.4463
656 67.1596 71.4463
657 67.1596 71.4463
658 67.1596 71.4463
659 67.1596 71.4463
660 67.1596 71.4463
661 67.1596 71.4463
662 67.1596 71.4463
663 67.1596 71.4463
664 67.1596 71.4463
665 67.1596 71.4463
666 67.1596 71.4463
667 67.1596 71.4463
668 67.1596 71.4463
669 67.1596 71.4463
670 67.1596 71.4463
671 67.1596 71.4463
672 67.1596 71.4463
673 67.1596 71.4462
674 67.1596 71.4414
675 67.1596 71.4332
676 67.1596 71.4332
677 67.1596 71.4332
678 67.1596 71.4332
679 67.1596 71.4332
680 67.1596 71.4332
681 67.1596 71.4332
682 67.1596 71.4332
683 67.1596 71.4332
684 67.1596 71.4332
685 67.1596 71.4331
686 67.1596 71.4306
687 67.1596 71.427
688 67.1596 71.427
689 67.1596 71.427
690 67.1596 71.427
691 67.1596 71.427
692 67.1596 71.427
693 67.1596 71.427
694 67.1596 71.427
695 67.1596 71.427
696 67.1596 71.427
697 67.1596 71.427
698 67.1596 71.427
699 67.1596 71.427
700 67.1596 71.427
701 67.1596 71.427
702 67.1596 71.427
703 67.1596 71.427
704 67.1596 71.427
705 67.1596 71.427
706 67.1596 71.425
707 67.1596 71.4201
708 67.1596 71.4174
709 67.1596 71.417
710 67.1596 71.417
711 67.1596 71.417
712 67.1596 71.417
713 67.1596 71.417
714 67.1596 71.417
715 67.1596 71.417
716 67.1596 71.417
717 67.1596 71.417
718 67.1596 71.417
719 67.1596 71.417
720 67.1596 71.417
721 67.1596 71.4138
722 67.1596 71.4081
723 67.1596 71.4075
724 67.1596 71.4075
725 67.1596 71.4075
726 67.1596 71.4075
727 67.1596 71.4075
728 67.1596 71.4075
729 67.1596 71.4075
730 67.1596 71.4072
731 67.1596 71.3818
732 67.1596 71.3405
733 67.1596 71.3375
