#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      1.9825      1.9825           0
           2     1.93867     1.96059   0.0154952
           3     1.99516     1.97211   0.0139726
           4     1.99431     1.97766   0.0115292
           5      2.0024     1.98261     0.01023
           6      1.9917     1.98412  0.00863652
           7     1.99375      1.9855  0.00751144
           8     1.97733     1.98448   0.0066416
           9     1.98226     1.98423  0.00590821
          10     1.96361     1.98217  0.00566586
          11     1.99822     1.98363  0.00533537
          12     1.96819     1.98234  0.00504341
          13     1.97352     1.98166  0.00470092
          14     1.96239     1.98029  0.00456228
          15     1.98235     1.98042   0.0042602
          16     1.96051     1.97918  0.00417174
          17      1.9925     1.97996  0.00399931
          18     2.01889     1.98213  0.00432253
          19     1.97613     1.98181  0.00410653
          20     2.01417     1.98343  0.00420791
