#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         151    -0.31805   -0.342728 0.000897705
         152   -0.317678   -0.342563 0.000906799
         153   -0.317391   -0.342398 0.000915676
         154   -0.317199   -0.342235 0.000924234
         155   -0.317099   -0.342072 0.000932389
         156   -0.317099   -0.341912 0.000940055
         157   -0.317197   -0.341755 0.000947157
         158   -0.317384   -0.341601 0.000953639
         159   -0.317668    -0.34145 0.000959447
         160   -0.318046   -0.341304 0.000964536
         161   -0.318518   -0.341162 0.000968873
         162   -0.319077   -0.341026 0.000972436
         163   -0.319719   -0.340895 0.000975216
         164   -0.320443   -0.340771 0.000977211
         165   -0.321249   -0.340652 0.000978424
         166   -0.322128   -0.340541 0.000978873
         167   -0.323072   -0.340436 0.000978585
         168   -0.324075   -0.340339 0.000977594
         169   -0.325136   -0.340249 0.000975939
         170   -0.326248   -0.340166 0.000973667
         171    -0.32741   -0.340092 0.000970827
         172   -0.328607   -0.340025 0.000967476
         173   -0.329842   -0.339966 0.000963673
         174   -0.331108   -0.339915 0.000959478
         175   -0.332396   -0.339872 0.000954957
         176   -0.333703   -0.339837 0.000950174
         177   -0.335024    -0.33981 0.000945195
         178   -0.336351   -0.339791 0.000940085
         179   -0.337689   -0.339779 0.000934906
         180   -0.339032   -0.339775 0.000929722
         181   -0.340372   -0.339778 0.000924591
         182   -0.341706   -0.339789 0.000919571
         183   -0.343036   -0.339806 0.000914718
         184   -0.344354   -0.339831  0.00091008
         185   -0.345666   -0.339863 0.000905707
         186   -0.346954   -0.339901  0.00090164
         187    -0.34823   -0.339945 0.000897918
         188   -0.349497   -0.339996 0.000894578
         189   -0.350751   -0.340053 0.000891653
         190   -0.351987   -0.340116 0.000889169
         191   -0.353202   -0.340184  0.00088715
         192   -0.354396   -0.340258 0.000885612
         193   -0.355572   -0.340338  0.00088457
         194   -0.356724   -0.340422 0.000884034
         195   -0.357866   -0.340512 0.000884015
         196   -0.358987   -0.340606 0.000884516
         197   -0.360088   -0.340705 0.000885538
         198   -0.361176   -0.340808  0.00088708
         199   -0.362235   -0.340916 0.000889133
         200   -0.363286   -0.341028 0.000891695
         201   -0.364313   -0.341144 0.000894752
         202    -0.36532   -0.341263 0.000898292
         203   -0.366312   -0.341387 0.000902303
         204   -0.367283   -0.341514 0.000906765
         205   -0.368241   -0.341644 0.000911667
