#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         168     1.95853     1.97011 0.000648767
         169      1.9592     1.97005 0.000648135
         170     1.95991     1.96999 0.000647062
         171     1.96065     1.96993 0.000645579
         172     1.96142     1.96988 0.000643719
         173     1.96222     1.96984  0.00064152
         174     1.96304      1.9698 0.000639021
         175     1.96389     1.96977 0.000636262
         176     1.96474     1.96974 0.000633286
         177     1.96562     1.96971 0.000630137
         178      1.9665      1.9697 0.000626856
         179     1.96738     1.96968 0.000623487
         180     1.96828     1.96968 0.000620072
         181     1.96917     1.96967 0.000616653
         182     1.97006     1.96968 0.000613268
         183     1.97095     1.96968 0.000609957
         184     1.97184     1.96969 0.000606755
         185     1.97272     1.96971 0.000603695
         186     1.97359     1.96973 0.000600811
         187     1.97446     1.96976 0.000598129
         188     1.97531     1.96979 0.000595678
         189     1.97616     1.96982  0.00059348
         190     1.97699     1.96986 0.000591556
         191     1.97782      1.9699 0.000589924
         192     1.97863     1.96994   0.0005886
         193     1.97942     1.96999 0.000587595
         194     1.98021     1.97005 0.000586921
         195     1.98098      1.9701 0.000586584
         196     1.98174     1.97016 0.000586589
         197     1.98249     1.97022 0.000586939
         198     1.98322     1.97029 0.000587635
         199     1.98394     1.97036 0.000588674
         200     1.98465     1.97043 0.000590055
         201     1.98535      1.9705  0.00059177
         202     1.98604     1.97058 0.000593815
         203     1.98671     1.97066 0.000596181
         204     1.98737     1.97074 0.000598859
         205     1.98802     1.97083  0.00060184
         206     1.98866     1.97091 0.000605112
         207     1.98929       1.971 0.000608664
         208      1.9899     1.97109 0.000612484
         209     1.99051     1.97119  0.00061656
         210     1.99111     1.97128 0.000620877
         211     1.99169     1.97138 0.000625425
         212     1.99227     1.97148 0.000630189
         213     1.99283     1.97158 0.000635156
         214     1.99339     1.97168 0.000640314
         215     1.99393     1.97178 0.000645649
         216     1.99447     1.97189 0.000651149
         217       1.995     1.97199 0.000656801
         218     1.99552      1.9721 0.000662593
         219     1.99603     1.97221 0.000668512
         220     1.99653     1.97232 0.000674548
         221     1.99702     1.97243 0.000680689
         222      1.9975     1.97255 0.000686925
         223     1.99797     1.97266 0.000693244
         224     1.99844     1.97277 0.000699636
         225      1.9989     1.97289 0.000706093
         226     1.99934     1.97301 0.000712604
         227     1.99978     1.97313 0.000719161
         228     2.00022     1.97324 0.000725755
         229     2.00064     1.97336 0.000732378
         230     2.00105     1.97348 0.000739022
         231     2.00146     1.97361 0.000745681
         232     2.00186     1.97373 0.000752346
         233     2.00225     1.97385 0.000759012
         234     2.00263     1.97397 0.000765671
         235     2.00301      1.9741 0.000772319
         236     2.00338     1.97422  0.00077895
         237     2.00374     1.97435 0.000785557
         238     2.00409     1.97447 0.000792137
         239     2.00444      1.9746 0.000798684
         240     2.00478     1.97472 0.000805195
         241     2.00511     1.97485 0.000811664
         242     2.00543     1.97497 0.000818089
         243     2.00575      1.9751 0.000824465
         244     2.00605     1.97523 0.000830789
         245     2.00636     1.97535 0.000837058
         246     2.00665     1.97548 0.000843268
         247     2.00694     1.97561 0.000849418
         248     2.00722     1.97574 0.000855504
         249      2.0075     1.97586 0.000861524
         250     2.00776     1.97599 0.000867475
         251     2.00802     1.97612 0.000873356
         252     2.00828     1.97625 0.000879165
         253     2.00853     1.97637 0.000884899
         254     2.00877      1.9765 0.000890558
         255       2.009     1.97663 0.000896139
         256     2.00923     1.97676 0.000901641
         257     2.00945     1.97688 0.000907062
         258     2.00966     1.97701 0.000912402
         259     2.00987     1.97714 0.000917658
         260     2.01007     1.97726 0.000922831
         261     2.01027     1.97739 0.000927918
         262     2.01046     1.97752 0.000932919
         263     2.01064     1.97764 0.000937833
         264     2.01081     1.97777 0.000942659
         265     2.01098     1.97789 0.000947396
         266     2.01114     1.97802 0.000952043
         267     2.01129     1.97814 0.000956599
         268     2.01144     1.97827 0.000961064
         269     2.01158     1.97839 0.000965436
         270     2.01171     1.97852 0.000969715
         271     2.01184     1.97864 0.000973901
         272     2.01195     1.97876 0.000977992
         273     2.01206     1.97888 0.000981987
         274     2.01216       1.979 0.000985887
         275     2.01226     1.97913  0.00098969
         276     2.01234     1.97925 0.000993395
         277     2.01242     1.97937 0.000997002
         278     2.01249     1.97948  0.00100051
         279     2.01255      1.9796  0.00100392
         280      2.0126     1.97972  0.00100723
         281     2.01264     1.97984  0.00101043
         282     2.01268     1.97995  0.00101354
         283      2.0127     1.98007  0.00101654
         284     2.01271     1.98018  0.00101944
         285     2.01272      1.9803  0.00102223
         286     2.01271     1.98041  0.00102492
         287     2.01269     1.98052   0.0010275
         288     2.01267     1.98064  0.00102998
         289     2.01263     1.98075  0.00103234
         290     2.01258     1.98086   0.0010346
         291     2.01252     1.98097  0.00103675
         292     2.01245     1.98107  0.00103879
         293     2.01237     1.98118  0.00104073
         294     2.01227     1.98129  0.00104255
         295     2.01217     1.98139  0.00104425
         296     2.01205     1.98149  0.00104585
         297     2.01192      1.9816  0.00104734
         298     2.01178      1.9817  0.00104871
         299     2.01163      1.9818  0.00104997
         300     2.01146      1.9819  0.00105112
         301     2.01129     1.98199  0.00105215
         302      2.0111     1.98209  0.00105307
         303      2.0109     1.98219  0.00105388
         304     2.01069     1.98228  0.00105457
         305     2.01046     1.98237  0.00105515
         306     2.01023     1.98246  0.00105562
         307     2.00998     1.98255  0.00105598
         308     2.00972     1.98264  0.00105623
         309     2.00945     1.98273  0.00105637
         310     2.00917     1.98281   0.0010564
         311     2.00888      1.9829  0.00105633
         312     2.00858     1.98298  0.00105614
         313     2.00828     1.98306  0.00105586
         314     2.00796     1.98314  0.00105547
         315     2.00764     1.98322  0.00105498
         316      2.0073     1.98329  0.00105439
         317     2.00697     1.98337   0.0010537
         318     2.00662     1.98344  0.00105293
         319     2.00627     1.98351  0.00105206
         320     2.00592     1.98358   0.0010511
         321     2.00557     1.98365  0.00105005
         322     2.00521     1.98372  0.00104892
         323     2.00485     1.98378  0.00104771
         324     2.00448     1.98385  0.00104642
         325     2.00412     1.98391  0.00104506
         326     2.00376     1.98397  0.00104363
         327      2.0034     1.98403  0.00104213
         328     2.00305     1.98409  0.00104056
         329      2.0027     1.98414  0.00103894
         330     2.00235      1.9842  0.00103725
         331     2.00201     1.98425  0.00103551
         332     2.00167     1.98431  0.00103372
         333     2.00135     1.98436  0.00103188
         334     2.00102     1.98441     0.00103
         335     2.00071     1.98446  0.00102807
         336     2.00041      1.9845  0.00102611
         337     2.00011     1.98455  0.00102411
         338     1.99983      1.9846  0.00102208
         339     1.99955     1.98464  0.00102001
         340     1.99928     1.98468  0.00101792
         341     1.99903     1.98472  0.00101581
         342     1.99878     1.98477  0.00101367
         343     1.99854     1.98481  0.00101151
         344     1.99831     1.98484  0.00100933
         345     1.99809     1.98488  0.00100713
         346     1.99787     1.98492  0.00100492
         347     1.99766     1.98496  0.00100269
         348     1.99746     1.98499  0.00100046
         349     1.99726     1.98503 0.000998206
         350     1.99707     1.98506 0.000995947
         351     1.99688      1.9851 0.000993678
         352     1.99669     1.98513 0.000991401
         353      1.9965     1.98516 0.000989115
         354     1.99631     1.98519 0.000986822
         355     1.99611     1.98522 0.000984521
         356     1.99591     1.98525 0.000982214
         357     1.99571     1.98528 0.000979899
         358     1.99549     1.98531 0.000977577
         359     1.99527     1.98534 0.000975247
         360     1.99504     1.98537  0.00097291
         361     1.99479     1.98539 0.000970566
         362     1.99453     1.98542 0.000968213
         363     1.99426     1.98544 0.000965852
         364     1.99397     1.98547 0.000963482
         365     1.99365     1.98549 0.000961104
         366     1.99332     1.98551 0.000958716
         367     1.99297     1.98553  0.00095632
         368      1.9926     1.98555 0.000953914
         369     1.99221     1.98557 0.000951499
         370     1.99179     1.98558 0.000949076
         371     1.99134      1.9856 0.000946645
         372     1.99087     1.98561 0.000944206
         373     1.99038     1.98563 0.000941761
         374     1.98986     1.98564 0.000939311
         375     1.98931     1.98565 0.000936858
         376     1.98874     1.98566 0.000934402
         377     1.98814     1.98566 0.000931947
         378     1.98752     1.98567 0.000929494
         379     1.98687     1.98567 0.000927047
         380     1.98619     1.98567 0.000924609
         381     1.98549     1.98567 0.000922182
         382     1.98477     1.98567 0.000919771
         383     1.98402     1.98566  0.00091738
         384     1.98325     1.98566 0.000915012
         385     1.98245     1.98565 0.000912673
         386     1.98164     1.98564 0.000910368
         387      1.9808     1.98563 0.000908101
         388     1.97995     1.98561 0.000905879
         389     1.97907      1.9856 0.000903706
         390     1.97818     1.98558 0.000901589
         391     1.97727     1.98556 0.000899534
         392     1.97634     1.98553 0.000897546
         393      1.9754     1.98551 0.000895632
         394     1.97444     1.98548 0.000893799
         395     1.97347     1.98545 0.000892054
         396     1.97248     1.98541 0.000890402
         397     1.97148     1.98538 0.000888851
         398     1.97046     1.98534 0.000887408
         399     1.96944      1.9853 0.000886079
         400      1.9684     1.98526 0.000884871
         401     1.96735     1.98522  0.00088379
         402      1.9663     1.98517 0.000882844
         403     1.96523     1.98512 0.000882038
         404     1.96416     1.98507 0.000881379
         405     1.96309     1.98501 0.000880871
         406     1.96202     1.98496  0.00088052
         407     1.96095      1.9849 0.000880331
         408     1.95988     1.98484 0.000880306
         409     1.95882     1.98477 0.000880449
         410     1.95777     1.98471 0.000880761
         411     1.95675     1.98464 0.000881241
         412     1.95574     1.98457 0.000881889
         413     1.95476      1.9845 0.000882701
         414     1.95382     1.98442 0.000883673
         415     1.95292     1.98435 0.000884799
         416     1.95206     1.98427 0.000886069
         417     1.95126     1.98419 0.000887472
         418     1.95052     1.98411 0.000888997
         419     1.94985     1.98403 0.000890628
         420     1.94925     1.98394 0.000892349
         421     1.94873     1.98386 0.000894142
         422     1.94829     1.98378 0.000895987
         423     1.94795     1.98369 0.000897863
         424      1.9477     1.98361  0.00089975
         425     1.94755     1.98352 0.000901624
         426      1.9475     1.98344 0.000903465
         427     1.94755     1.98335  0.00090525
         428      1.9477     1.98327 0.000906959
         429     1.94796     1.98319 0.000908573
         430     1.94831     1.98311 0.000910073
         431     1.94876     1.98303 0.000911443
         432     1.94931     1.98295 0.000912669
         433     1.94994     1.98287 0.000913739
         434     1.95066      1.9828 0.000914644
         435     1.95145     1.98273 0.000915377
         436     1.95231     1.98266 0.000915931
         437     1.95324     1.98259 0.000916306
         438     1.95422     1.98252 0.000916501
         439     1.95525     1.98246 0.000916517
         440     1.95632      1.9824 0.000916358
         441     1.95743     1.98235 0.000916029
         442     1.95856     1.98229 0.000915536
         443     1.95972     1.98224 0.000914886
         444     1.96089     1.98219 0.000914089
         445     1.96207     1.98215 0.000913153
         446     1.96325     1.98211 0.000912088
         447     1.96443     1.98207 0.000910904
         448     1.96561     1.98203 0.000909611
         449     1.96679       1.982 0.000908218
         450     1.96795     1.98196 0.000906736
         451      1.9691     1.98194 0.000905175
         452     1.97023     1.98191 0.000903542
         453     1.97134     1.98189 0.000901849
         454     1.97244     1.98187 0.000900102
         455     1.97352     1.98185 0.000898311
         456     1.97458     1.98183 0.000896482
         457     1.97562     1.98182 0.000894624
         458     1.97664     1.98181 0.000892742
         459     1.97764      1.9818 0.000890843
         460     1.97862     1.98179 0.000888934
         461     1.97958     1.98179 0.000887018
         462     1.98053     1.98178 0.000885102
         463     1.98146     1.98178 0.000883191
         464     1.98237     1.98178 0.000881288
         465     1.98327     1.98179 0.000879399
         466     1.98415     1.98179 0.000877527
         467     1.98502      1.9818 0.000875675
         468     1.98588     1.98181 0.000873847
         469     1.98672     1.98182 0.000872047
         470     1.98756     1.98183 0.000870277
         471     1.98838     1.98184  0.00086854
         472     1.98919     1.98186 0.000866839
         473     1.98998     1.98188 0.000865177
         474     1.99077      1.9819 0.000863555
         475     1.99153     1.98192 0.000861975
         476     1.99229     1.98194  0.00086044
         477     1.99303     1.98196  0.00085895
         478     1.99375     1.98199 0.000857507
         479     1.99445     1.98201 0.000856111
         480     1.99514     1.98204 0.000854764
         481      1.9958     1.98207 0.000853466
         482     1.99644      1.9821 0.000852216
         483     1.99705     1.98213 0.000851014
         484     1.99764     1.98216 0.000849859
         485      1.9982     1.98219  0.00084875
         486     1.99873     1.98223 0.000847685
         487     1.99923     1.98226 0.000846663
         488     1.99969      1.9823 0.000845681
         489     2.00012     1.98233 0.000844736
         490     2.00051     1.98237 0.000843826
         491     2.00087     1.98241 0.000842948
         492     2.00118     1.98245 0.000842098
         493     2.00146     1.98249 0.000841272
         494     2.00169     1.98252 0.000840466
         495     2.00188     1.98256 0.000839678
         496     2.00203      1.9826 0.000838902
         497     2.00214     1.98264 0.000838135
         498     2.00221     1.98268 0.000837373
         499     2.00224     1.98272 0.000836611
         500     2.00222     1.98276 0.000835847
         501     2.00217      1.9828 0.000835076
         502     2.00208     1.98284 0.000834295
         503     2.00194     1.98288   0.0008335
         504     2.00178     1.98291  0.00083269
         505     2.00158     1.98295 0.000831861
         506     2.00134     1.98299 0.000831011
         507     2.00108     1.98302 0.000830138
         508     2.00079     1.98306  0.00082924
         509     2.00048     1.98309 0.000828317
         510     2.00014     1.98312 0.000827367
         511     1.99978     1.98316  0.00082639
         512     1.99942     1.98319 0.000825386
         513     1.99904     1.98322 0.000824355
         514     1.99865     1.98325 0.000823297
         515     1.99826     1.98328 0.000822214
         516     1.99786     1.98331 0.000821106
         517     1.99748     1.98333 0.000819975
         518     1.99709     1.98336 0.000818822
         519     1.99672     1.98339 0.000817649
         520     1.99637     1.98341 0.000816458
         521     1.99603     1.98344  0.00081525
         522     1.99571     1.98346 0.000814028
         523     1.99542     1.98348 0.000812792
         524     1.99516      1.9835 0.000811547
         525     1.99492     1.98353 0.000810292
         526     1.99471     1.98355  0.00080903
         527     1.99453     1.98357 0.000807763
         528     1.99439     1.98359 0.000806493
         529     1.99428     1.98361 0.000805222
         530      1.9942     1.98363  0.00080395
         531     1.99415     1.98365  0.00080268
         532     1.99413     1.98367 0.000801413
         533     1.99414     1.98369 0.000800151
         534     1.99418     1.98371 0.000798893
         535     1.99425     1.98373 0.000797643
         536     1.99433     1.98375   0.0007964
         537     1.99444     1.98377 0.000795166
         538     1.99456     1.98379 0.000793941
         539      1.9947     1.98381 0.000792726
         540     1.99484     1.98383 0.000791522
         541     1.99499     1.98385 0.000790328
         542     1.99515     1.98387 0.000789144
         543      1.9953     1.98389 0.000787972
         544     1.99545     1.98391  0.00078681
         545     1.99559     1.98393 0.000785658
         546     1.99572     1.98395 0.000784515
         547     1.99584     1.98398 0.000783382
         548     1.99593       1.984 0.000782256
         549     1.99601     1.98402 0.000781137
         550     1.99607     1.98404 0.000780024
         551      1.9961     1.98406 0.000778916
         552     1.99611     1.98409  0.00077781
         553     1.99609     1.98411 0.000776706
         554     1.99604     1.98413 0.000775603
         555     1.99595     1.98415 0.000774498
         556     1.99584     1.98417  0.00077339
         557     1.99569     1.98419 0.000772278
         558     1.99551     1.98421  0.00077116
         559     1.99529     1.98423 0.000770036
         560     1.99504     1.98425 0.000768902
         561     1.99475     1.98427 0.000767759
         562     1.99442     1.98429 0.000766606
         563     1.99406     1.98431 0.000765441
         564     1.99367     1.98432 0.000764264
         565     1.99323     1.98434 0.000763074
         566     1.99276     1.98435 0.000761871
         567     1.99226     1.98437 0.000760655
         568     1.99172     1.98438 0.000759426
         569     1.99115     1.98439 0.000758184
         570     1.99054      1.9844 0.000756931
         571      1.9899     1.98441 0.000755666
         572     1.98924     1.98442 0.000754392
         573     1.98854     1.98443  0.00075311
         574     1.98781     1.98443 0.000751821
         575     1.98706     1.98444 0.000750527
         576     1.98629     1.98444 0.000749231
         577      1.9855     1.98444 0.000747935
         578     1.98469     1.98444 0.000746641
         579     1.98387     1.98444 0.000745352
         580     1.98303     1.98444 0.000744071
         581     1.98219     1.98444 0.000742801
         582     1.98135     1.98443 0.000741543
         583      1.9805     1.98442 0.000740302
         584     1.97966     1.98442 0.000739079
         585     1.97883     1.98441 0.000737878
         586     1.97801      1.9844 0.000736699
         587     1.97721     1.98438 0.000735546
         588     1.97642     1.98437  0.00073442
         589     1.97567     1.98436 0.000733321
         590     1.97494     1.98434 0.000732252
         591     1.97424     1.98432 0.000731213
         592     1.97357      1.9843 0.000730203
         593     1.97294     1.98428 0.000729223
         594     1.97234     1.98426 0.000728273
         595     1.97179     1.98424  0.00072735
         596     1.97127     1.98422 0.000726456
         597     1.97079      1.9842 0.000725587
         598     1.97035     1.98418 0.000724743
         599     1.96995     1.98415 0.000723922
         600     1.96959     1.98413 0.000723122
         601     1.96926      1.9841 0.000722342
         602     1.96896     1.98408 0.000721581
         603     1.96869     1.98405 0.000720835
         604     1.96844     1.98403 0.000720105
         605     1.96822       1.984 0.000719389
         606     1.96802     1.98397 0.000718685
         607     1.96784     1.98395 0.000717992
         608     1.96767     1.98392  0.00071731
         609     1.96752     1.98389 0.000716638
         610     1.96737     1.98387 0.000715975
         611     1.96723     1.98384  0.00071532
         612      1.9671     1.98381 0.000714674
         613     1.96697     1.98379 0.000714037
         614     1.96684     1.98376 0.000713407
         615     1.96672     1.98373 0.000712785
         616     1.96659      1.9837  0.00071217
         617     1.96647     1.98367 0.000711564
         618     1.96634     1.98365 0.000710965
         619     1.96621     1.98362 0.000710374
         620     1.96609     1.98359 0.000709791
         621     1.96596     1.98356 0.000709215
         622     1.96583     1.98353 0.000708648
         623     1.96569      1.9835 0.000708089
         624     1.96556     1.98348 0.000707538
         625     1.96542     1.98345 0.000706995
         626     1.96528     1.98342 0.000706461
         627     1.96513     1.98339 0.000705937
         628     1.96497     1.98336 0.000705422
         629      1.9648     1.98333 0.000704917
         630     1.96462      1.9833 0.000704424
         631     1.96442     1.98327 0.000703943
         632      1.9642     1.98324 0.000703475
         633     1.96397     1.98321 0.000703022
         634      1.9637     1.98318 0.000702586
         635     1.96341     1.98315 0.000702169
         636     1.96308     1.98312 0.000701773
         637     1.96272     1.98308 0.000701401
         638     1.96232     1.98305 0.000701057
         639     1.96187     1.98302 0.000700743
         640     1.96137     1.98298 0.000700464
         641     1.96082     1.98295 0.000700224
         642     1.96022     1.98291 0.000700027
         643     1.95956     1.98288  0.00069988
         644     1.95884     1.98284 0.000699788
         645     1.95806      1.9828 0.000699757
         646     1.95721     1.98276 0.000699794
         647     1.95631     1.98272 0.000699906
         648     1.95534     1.98268 0.000700101
         649      1.9543     1.98264 0.000700386
         650     1.95321     1.98259  0.00070077
         651     1.95206     1.98254 0.000701261
         652     1.95085     1.98249 0.000701868
         653     1.94959     1.98244 0.000702601
         654     1.94827     1.98239 0.000703466
         655     1.94692     1.98234 0.000704474
         656     1.94552     1.98228 0.000705632
         657      1.9441     1.98222 0.000706947
         658     1.94265     1.98216 0.000708427
         659     1.94118      1.9821 0.000710077
         660      1.9397     1.98204 0.000711902
         661     1.93821     1.98197 0.000713906
         662     1.93674      1.9819  0.00071609
         663     1.93528     1.98183 0.000718455
         664     1.93384     1.98176 0.000720999
         665     1.93244     1.98169 0.000723719
         666     1.93108     1.98161 0.000726611
         667     1.92977     1.98153 0.000729666
         668     1.92853     1.98145 0.000732874
         669     1.92736     1.98137 0.000736226
         670     1.92626     1.98129 0.000739708
         671     1.92525     1.98121 0.000743305
         672     1.92434     1.98112    0.000747
         673     1.92353     1.98104 0.000750775
         674     1.92283     1.98095 0.000754613
         675     1.92223     1.98086 0.000758492
         676     1.92176     1.98078 0.000762392
         677     1.92141     1.98069 0.000766293
         678     1.92118      1.9806 0.000770173
         679     1.92107     1.98051 0.000774012
         680     1.92109     1.98042 0.000777791
         681     1.92124     1.98034 0.000781489
         682     1.92151     1.98025 0.000785088
         683     1.92191     1.98017 0.000788572
         684     1.92243     1.98008 0.000791924
         685     1.92306        1.98 0.000795131
         686     1.92381     1.97992  0.00079818
         687     1.92466     1.97984  0.00080106
         688     1.92561     1.97976 0.000803764
         689     1.92666     1.97968 0.000806282
         690     1.92781      1.9796 0.000808611
         691     1.92903     1.97953 0.000810747
         692     1.93033     1.97946 0.000812687
         693     1.93169     1.97939 0.000814432
         694     1.93312     1.97933 0.000815983
         695     1.93461     1.97926 0.000817342
         696     1.93614      1.9792 0.000818513
         697      1.9377     1.97914 0.000819501
         698     1.93931     1.97908 0.000820311
         699     1.94093     1.97903 0.000820951
         700     1.94258     1.97898 0.000821428
         701     1.94424     1.97893 0.000821749
         702     1.94591     1.97888 0.000821924
         703     1.94758     1.97883  0.00082196
         704     1.94924     1.97879 0.000821867
         705      1.9509     1.97875 0.000821653
         706     1.95254     1.97872 0.000821327
         707     1.95417     1.97868 0.000820899
         708     1.95578     1.97865 0.000820376
         709     1.95737     1.97862 0.000819768
         710     1.95893     1.97859 0.000819083
         711     1.96046     1.97857 0.000818328
         712     1.96195     1.97854 0.000817511
         713     1.96342     1.97852 0.000816639
         714     1.96485      1.9785  0.00081572
         715     1.96625     1.97848 0.000814759
         716     1.96761     1.97847 0.000813763
         717     1.96893     1.97846 0.000812737
         718     1.97021     1.97844 0.000811686
         719     1.97145     1.97843 0.000810615
         720     1.97265     1.97843 0.000809529
         721     1.97382     1.97842 0.000808432
         722     1.97494     1.97842 0.000807326
         723     1.97602     1.97841 0.000806217
         724     1.97707     1.97841 0.000805105
         725     1.97807     1.97841 0.000803995
         726     1.97904     1.97841 0.000802888
         727     1.97997     1.97841 0.000801786
         728     1.98086     1.97842 0.000800692
         729     1.98171     1.97842 0.000799606
         730     1.98252     1.97843 0.000798531
         731      1.9833     1.97843 0.000797466
         732     1.98405     1.97844 0.000796414
         733     1.98476     1.97845 0.000795374
         734     1.98543     1.97846 0.000794347
