# Temperature C C_error
0.5 0.326392 0.00241444
0.6 0.423665 0.0014777
0.7 0.431514 0.000918512
0.8 0.439399 0.00116449
0.9 0.436883 0.000976007
1 0.421245 0.00062337
1.1 0.397815 0.00061963
1.2 0.370375 0.00055895
1.3 0.345271 0.000446579
1.4 0.317515 0.000413507
1.5 0.293216 0.00037795
1.6 0.2709 0.000341691
1.7 0.249164 0.00026241
1.8 0.229899 0.000305523
1.9 0.212467 0.000176902
