# Temperature M M_error
0.5 0.885835 0.0065842
0.6 0.675025 0.00905304
0.7 0.439832 0.00614876
0.8 0.293495 0.00424306
0.9 0.200579 0.00272615
1 0.144998 0.00207904
1.1 0.109627 0.00148387
1.2 0.0866655 0.00113457
1.3 0.0695891 0.000909482
1.4 0.0581684 0.000717551
1.5 0.0497356 0.000771644
1.6 0.04304 0.00077704
1.7 0.0375112 0.000666001
1.8 0.0332538 0.00053024
1.9 0.0293956 0.000483094
