# Temperature X X_error
0.5 79.4454 0.252985
0.6 44.5028 0.239148
0.7 24.7085 0.118048
0.8 15.2081 0.0961835
0.9 10.2926 0.0405386
1 7.40973 0.0189975
1.1 5.602 0.00991103
1.2 4.41661 0.0128426
1.3 3.57447 0.00845733
1.4 2.97425 0.00687968
1.5 2.53032 0.00471948
1.6 2.17847 0.00410002
1.7 1.90556 0.0030968
1.8 1.69318 0.00269136
1.9 1.50913 0.00256264
