# DISTANCE    GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263           0
    0.884913  0.00129596
    0.910562   0.0220316
    0.936212    0.170532
    0.961861    0.566276
    0.987511     1.22553
     1.01316      1.8908
     1.03881     2.37203
     1.06446     2.59966
     1.09011     2.57914
     1.11576     2.43464
     1.14141     2.22324
     1.16706     2.01589
     1.19271      1.7415
     1.21836     1.56076
     1.24401     1.39612
     1.26966     1.25296
     1.29531      1.1134
     1.32096     1.03049
     1.34661    0.947957
     1.37226     0.87863
     1.39791    0.816023
     1.42355     0.77828
      1.4492    0.735977
     1.47485    0.720081
      1.5005    0.694579
     1.52615    0.679597
      1.5518    0.679081
     1.57745    0.674757
      1.6031    0.677961
     1.62875    0.689976
      1.6544    0.700077
     1.68005    0.724436
      1.7057    0.755557
     1.73135    0.791023
       1.757    0.831671
     1.78265    0.869111
      1.8083     0.90517
     1.83395    0.947971
      1.8596    0.993721
     1.88525     1.02799
      1.9109     1.08139
     1.93655     1.11276
      1.9622     1.14329
     1.98785     1.18346
      2.0135     1.19971
     2.03915     1.21549
      2.0648     1.23037
     2.09045     1.23423
      2.1161     1.22145
     2.14174      1.2101
     2.16739       1.178
     2.19304     1.16427
     2.21869     1.12655
     2.24434     1.10124
     2.26999     1.07947
     2.29564     1.04923
     2.32129     1.02075
     2.34694    0.994867
     2.37259    0.976647
     2.39824    0.955326
     2.42389    0.938669
     2.44954    0.930784
     2.47519    0.909605
     2.50084    0.893963
     2.52649    0.882416
     2.55214    0.889903
