# DISTANCE    GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263           0
    0.884913   0.0014811
    0.910562   0.0253538
    0.936212    0.180415
    0.961861    0.590956
    0.987511     1.27269
     1.01316     1.91181
     1.03881     2.39061
     1.06446     2.60254
     1.09011     2.56438
     1.11576     2.40364
     1.14141     2.20279
     1.16706     1.97409
     1.19271     1.73011
     1.21836     1.55451
     1.24401     1.38261
     1.26966     1.23956
     1.29531     1.12427
     1.32096      1.0302
     1.34661    0.956652
     1.37226    0.877013
     1.39791    0.837019
     1.42355    0.776241
      1.4492    0.741637
     1.47485    0.716665
      1.5005    0.700342
     1.52615    0.679815
      1.5518    0.672368
     1.57745    0.672455
      1.6031    0.683927
     1.62875    0.693692
      1.6544     0.71418
     1.68005    0.732012
      1.7057    0.760166
     1.73135    0.802969
       1.757    0.832869
     1.78265    0.865461
      1.8083     0.90997
     1.83395    0.955795
      1.8596    0.995094
     1.88525     1.04084
      1.9109     1.08166
     1.93655     1.11533
      1.9622     1.14329
     1.98785     1.19072
      2.0135     1.20362
     2.03915     1.21332
      2.0648     1.21874
     2.09045     1.22601
      2.1161     1.20051
     2.14174     1.19165
     2.16739     1.17954
     2.19304     1.15249
     2.21869     1.13232
     2.24434     1.10081
     2.26999     1.06982
     2.29564     1.04269
     2.32129     1.00756
     2.34694    0.987405
     2.37259    0.965823
     2.39824    0.938494
     2.42389    0.933548
     2.44954    0.923269
     2.47519     0.90702
     2.50084    0.900152
     2.52649    0.896186
     2.55214    0.898539
