# DISTANCE    GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263           0
    0.884913  0.00129596
    0.910562   0.0249604
    0.936212     0.16834
    0.961861    0.564278
    0.987511     1.19475
     1.01316     1.86323
     1.03881     2.35084
     1.06446     2.56669
     1.09011     2.57085
     1.11576     2.42707
     1.14141     2.21926
     1.16706     2.00179
     1.19271     1.77748
     1.21836     1.58378
     1.24401     1.40162
     1.26966     1.26791
     1.29531     1.14111
     1.32096     1.03454
     1.34661    0.949077
     1.37226    0.878033
     1.39791     0.81619
     1.42355    0.782357
      1.4492    0.752717
     1.47485    0.713283
      1.5005    0.699553
     1.52615    0.683425
      1.5518    0.684348
     1.57745    0.680597
      1.6031    0.682601
     1.62875    0.700796
      1.6544    0.702434
     1.68005    0.725271
      1.7057      0.7502
     1.73135    0.777577
       1.757    0.824439
     1.78265    0.862667
      1.8083    0.896614
     1.83395     0.95087
      1.8596    0.990178
     1.88525     1.03157
      1.9109     1.06085
     1.93655     1.09867
      1.9622     1.14132
     1.98785     1.17291
      2.0135     1.19332
     2.03915     1.21384
      2.0648     1.21885
     2.09045     1.22915
      2.1161     1.22244
     2.14174     1.21262
     2.16739     1.19013
     2.19304     1.16148
     2.21869     1.13984
     2.24434     1.10112
     2.26999     1.07627
     2.29564     1.05018
     2.32129     1.01786
     2.34694    0.993952
     2.37259    0.970202
     2.39824    0.955149
     2.42389    0.933777
     2.44954    0.930506
     2.47519    0.921253
     2.50084    0.901473
     2.52649    0.898218
     2.55214    0.893665
