# DISTANCE    GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263 4.90889e-05
    0.884913  0.00212908
    0.910562   0.0268401
    0.936212    0.167637
    0.961861    0.565297
    0.987511     1.20642
     1.01316     1.89469
     1.03881     2.35393
     1.06446     2.57827
     1.09011     2.60327
     1.11576     2.44125
     1.14141     2.21687
     1.16706     1.99261
     1.19271     1.75786
     1.21836     1.56342
     1.24401     1.38244
     1.26966     1.23232
     1.29531     1.13098
     1.32096     1.03305
     1.34661    0.946438
     1.37226    0.886425
     1.39791    0.825538
     1.42355    0.776634
      1.4492    0.748057
     1.47485    0.719915
      1.5005    0.687786
     1.52615    0.685433
      1.5518    0.684454
     1.57745    0.682302
      1.6031    0.680782
     1.62875    0.689443
      1.6544    0.712591
     1.68005    0.732294
      1.7057    0.756529
     1.73135    0.799547
       1.757     0.82404
     1.78265    0.871836
      1.8083    0.901934
     1.83395    0.946204
      1.8596    0.991373
     1.88525     1.03266
      1.9109     1.06789
     1.93655     1.10402
      1.9622      1.1486
     1.98785     1.17188
      2.0135     1.19613
     2.03915     1.21544
      2.0648     1.22207
     2.09045     1.22724
      2.1161     1.21331
     2.14174     1.20307
     2.16739     1.17712
     2.19304     1.15994
     2.21869     1.12856
     2.24434     1.09655
     2.26999     1.06105
     2.29564     1.04651
     2.32129     1.01562
     2.34694    0.987701
     2.37259    0.966757
     2.39824    0.958067
     2.42389    0.944572
     2.44954    0.935501
     2.47519    0.924111
     2.50084    0.908659
     2.52649    0.901063
     2.55214    0.895423
