# DISTANCE    GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263           0
    0.884913  0.00101826
    0.910562   0.0235616
    0.936212    0.164784
    0.961861    0.575913
    0.987511     1.21014
     1.01316     1.86079
     1.03881     2.34197
     1.06446     2.55056
     1.09011       2.567
     1.11576     2.41424
     1.14141     2.22432
     1.16706     1.98428
     1.19271     1.78313
     1.21836     1.59819
     1.24401     1.41975
     1.26966     1.26797
     1.29531     1.16233
     1.32096     1.04374
     1.34661    0.965666
     1.37226    0.888561
     1.39791    0.826892
     1.42355    0.791532
      1.4492     0.73986
     1.47485    0.717265
      1.5005    0.693951
     1.52615    0.667646
      1.5518    0.668485
     1.57745    0.666993
      1.6031     0.68411
     1.62875    0.691861
      1.6544    0.698872
     1.68005    0.726516
      1.7057    0.753614
     1.73135    0.780697
       1.757    0.821128
     1.78265    0.861218
      1.8083    0.896481
     1.83395    0.938294
      1.8596     0.98063
     1.88525     1.01912
      1.9109     1.06841
     1.93655     1.10876
      1.9622     1.13889
     1.98785     1.16764
      2.0135     1.19873
     2.03915      1.2166
      2.0648     1.22623
     2.09045     1.23473
      2.1161     1.21856
     2.14174     1.21585
     2.16739     1.19856
     2.19304     1.16885
     2.21869     1.14227
     2.24434     1.12223
     2.26999     1.08175
     2.29564     1.05509
     2.32129     1.03162
     2.34694     1.00238
     2.37259    0.976299
     2.39824    0.954317
     2.42389    0.933302
     2.44954    0.919712
     2.47519    0.906097
     2.50084    0.895197
     2.52649    0.886079
     2.55214    0.884745
