# DISTANCE    GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263           0
    0.884913  0.00074055
    0.910562   0.0243484
    0.936212    0.152999
    0.961861    0.540851
    0.987511     1.18063
     1.01316     1.82894
     1.03881     2.31783
     1.06446     2.55056
     1.09011     2.57984
     1.11576     2.46894
     1.14141     2.22599
     1.16706     1.99974
     1.19271     1.78798
     1.21836      1.5936
     1.24401     1.43132
     1.26966     1.27378
     1.29531     1.14269
     1.32096      1.0468
     1.34661    0.960429
     1.37226    0.886425
     1.39791    0.830194
     1.42355    0.790155
      1.4492    0.753683
     1.47485    0.722764
      1.5005    0.703432
     1.52615    0.683083
      1.5518     0.66993
     1.57745    0.664357
      1.6031    0.669133
     1.62875    0.673321
      1.6544    0.687603
     1.68005    0.721162
      1.7057     0.74361
     1.73135     0.77343
       1.757    0.818345
     1.78265    0.856827
      1.8083    0.897744
     1.83395     0.94823
      1.8596    0.997431
     1.88525     1.03916
      1.9109     1.07931
     1.93655     1.10764
      1.9622     1.14561
     1.98785     1.17674
      2.0135     1.19094
     2.03915     1.21352
      2.0648     1.20894
     2.09045     1.22185
      2.1161      1.2184
     2.14174     1.20137
     2.16739     1.18271
     2.19304     1.16692
     2.21869     1.14464
     2.24434     1.11254
     2.26999     1.08711
     2.29564     1.05623
     2.32129     1.02548
     2.34694     1.00897
     2.37259    0.976331
     2.39824    0.957569
     2.42389    0.939162
     2.44954    0.930445
     2.47519    0.922951
     2.50084    0.897805
     2.52649    0.885147
     2.55214    0.886598
