# DISTANCE    GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263           0
    0.884913  0.00111082
    0.910562   0.0212011
    0.936212    0.158499
    0.961861    0.559146
    0.987511     1.21077
     1.01316     1.88053
     1.03881     2.37546
     1.06446     2.54676
     1.09011     2.56145
     1.11576     2.44408
     1.14141      2.2145
     1.16706       2.009
     1.19271     1.77964
     1.21836     1.58254
     1.24401     1.40612
     1.26966     1.25894
     1.29531     1.13362
     1.32096      1.0291
     1.34661    0.953314
     1.37226    0.888619
     1.39791    0.830583
     1.42355    0.784146
      1.4492    0.748868
     1.47485    0.715649
      1.5005    0.689911
     1.52615    0.693073
      1.5518    0.672278
     1.57745    0.668071
      1.6031    0.673589
     1.62875    0.683814
      1.6544    0.699455
     1.68005    0.722754
      1.7057    0.755868
     1.73135    0.789934
       1.757    0.825766
     1.78265    0.853885
      1.8083    0.906467
     1.83395    0.946085
      1.8596    0.991342
     1.88525     1.02765
      1.9109     1.06894
     1.93655     1.09865
      1.9622     1.13797
     1.98785     1.16719
      2.0135     1.19401
     2.03915     1.21081
      2.0648     1.23098
     2.09045     1.23062
      2.1161     1.22396
     2.14174     1.21811
     2.16739     1.19371
     2.19304     1.16925
     2.21869     1.14697
     2.24434      1.1151
     2.26999     1.07763
     2.29564     1.05102
     2.32129     1.02299
     2.34694    0.998229
     2.37259    0.976054
     2.39824     0.95375
     2.42389    0.934394
     2.44954    0.925214
     2.47519    0.921644
     2.50084    0.897052
     2.52649    0.892461
     2.55214    0.893737
