# DISTANCE    GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263           0
    0.884913  0.00171252
    0.910562   0.0259658
    0.936212    0.177603
    0.961861    0.582299
    0.987511     1.24058
     1.01316     1.90242
     1.03881      2.3723
     1.06446     2.58162
     1.09011     2.58741
     1.11576     2.41071
     1.14141     2.21737
     1.16706     1.98742
     1.19271     1.73585
     1.21836     1.55143
     1.24401     1.38469
     1.26966     1.23713
     1.29531     1.10323
     1.32096     1.02104
     1.34661    0.934386
     1.37226    0.878995
     1.39791    0.827782
     1.42355    0.783967
      1.4492    0.759395
     1.47485    0.733628
      1.5005    0.699022
     1.52615    0.693353
      1.5518    0.686802
     1.57745    0.694289
      1.6031    0.695717
     1.62875    0.700919
      1.6544    0.723582
     1.68005    0.738933
      1.7057    0.758759
     1.73135     0.79072
       1.757    0.817876
     1.78265    0.857648
      1.8083    0.898121
     1.83395    0.934081
      1.8596    0.974373
     1.88525     1.02657
      1.9109     1.06277
     1.93655     1.10156
      1.9622     1.13857
     1.98785      1.1678
      2.0135      1.1917
     2.03915     1.21521
      2.0648     1.22555
     2.09045     1.23659
      2.1161     1.22176
     2.14174     1.20433
     2.16739     1.19487
     2.19304     1.16302
     2.21869     1.13236
     2.24434     1.10443
     2.26999     1.06871
     2.29564     1.04188
     2.32129     1.01391
     2.34694    0.990136
     2.37259     0.97015
     2.39824    0.962365
     2.42389    0.942512
     2.44954    0.935072
     2.47519    0.918213
     2.50084    0.906515
     2.52649    0.897878
     2.55214    0.901355
