# DISTANCE    GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263           0
    0.884913  0.00180509
    0.910562   0.0231245
    0.936212    0.164536
    0.961861    0.558323
    0.987511      1.2275
     1.01316     1.88473
     1.03881     2.40314
     1.06446     2.59324
     1.09011      2.5527
     1.11576     2.43365
     1.14141     2.21434
     1.16706     1.98449
     1.19271     1.76367
     1.21836      1.5592
     1.24401     1.39706
     1.26966     1.23463
     1.29531     1.13111
     1.32096     1.02362
     1.34661    0.945299
     1.37226    0.876589
     1.39791    0.826002
     1.42355     0.78479
      1.4492    0.745313
     1.47485    0.715366
      1.5005    0.697637
     1.52615    0.681869
      1.5518    0.681699
     1.57745    0.678995
      1.6031    0.694236
     1.62875     0.69708
      1.6544    0.706354
     1.68005    0.735697
      1.7057    0.752841
     1.73135     0.79257
       1.757    0.814694
     1.78265     0.86472
      1.8083    0.905436
     1.83395    0.942562
      1.8596    0.981678
     1.88525     1.02346
      1.9109     1.06438
     1.93655       1.101
      1.9622     1.14669
     1.98785     1.18149
      2.0135     1.20754
     2.03915     1.22345
      2.0648     1.24101
     2.09045     1.23774
      2.1161     1.22298
     2.14174     1.19802
     2.16739     1.17629
     2.19304     1.16203
     2.21869     1.13595
     2.24434     1.10741
     2.26999     1.07683
     2.29564     1.04697
     2.32129      1.0225
     2.34694    0.994018
     2.37259    0.970807
     2.39824    0.943372
     2.42389    0.932888
     2.44954    0.922671
     2.47519    0.912646
     2.50084    0.899752
     2.52649    0.887572
     2.55214    0.882541
