# DISTANCE    GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263 9.81777e-05
    0.884913  0.00134225
    0.910562   0.0197585
    0.936212    0.156472
    0.961861    0.550723
    0.987511     1.16242
     1.01316     1.82598
     1.03881     2.34641
     1.06446     2.58978
     1.09011     2.57472
     1.11576      2.4646
     1.14141     2.25662
     1.16706     2.01443
     1.19271     1.79368
     1.21836     1.59985
     1.24401     1.43006
     1.26966     1.26078
     1.29531     1.15341
     1.32096     1.03986
     1.34661    0.942421
     1.37226    0.888215
     1.39791    0.823591
     1.42355    0.765957
      1.4492    0.744847
     1.47485    0.719348
      1.5005    0.702628
     1.52615      0.6737
      1.5518    0.678569
     1.57745    0.665522
      1.6031    0.670388
     1.62875    0.677215
      1.6544    0.705401
     1.68005    0.717733
      1.7057    0.744918
     1.73135    0.780552
       1.757    0.814142
     1.78265    0.851946
      1.8083    0.901823
     1.83395    0.950213
      1.8596    0.984571
     1.88525     1.02631
      1.9109     1.07294
     1.93655     1.10641
      1.9622     1.13754
     1.98785      1.1788
      2.0135     1.20376
     2.03915     1.21968
      2.0648     1.23373
     2.09045     1.22866
      2.1161     1.22437
     2.14174     1.20638
     2.16739     1.19511
     2.19304     1.16291
     2.21869     1.14204
     2.24434     1.11405
     2.26999      1.0799
     2.29564     1.05258
     2.32129     1.02692
     2.34694    0.998492
     2.37259     0.97807
     2.39824    0.951658
     2.42389    0.932339
     2.44954    0.927975
     2.47519    0.912871
     2.50084    0.897614
     2.52649    0.889485
     2.55214    0.890849
