# DISTANCE    GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263 4.90889e-05
    0.884913  0.00152738
    0.910562   0.0255724
    0.936212    0.160111
    0.961861    0.571055
    0.987511     1.21464
     1.01316      1.8986
     1.03881      2.3714
     1.06446     2.56454
     1.09011     2.58134
     1.11576     2.44486
     1.14141     2.21851
     1.16706     1.98603
     1.19271     1.77096
     1.21836     1.57809
     1.24401     1.39886
     1.26966     1.25851
     1.29531     1.12243
     1.32096     1.02628
     1.34661    0.942661
     1.37226    0.871296
     1.39791    0.822107
     1.42355    0.772932
      1.4492    0.749817
     1.47485    0.721331
      1.5005    0.698796
     1.52615    0.686071
      1.5518    0.675032
     1.57745    0.671756
      1.6031    0.681487
     1.62875     0.68947
      1.6544     0.71655
     1.68005    0.729534
      1.7057    0.758597
     1.73135    0.781652
       1.757    0.829605
     1.78265    0.871129
      1.8083    0.911544
     1.83395     0.94504
      1.8596    0.986101
     1.88525     1.03383
      1.9109     1.07297
     1.93655     1.10778
      1.9622     1.14337
     1.98785     1.17097
      2.0135     1.20001
     2.03915     1.20437
      2.0648     1.22536
     2.09045     1.22268
      2.1161     1.21789
     2.14174     1.20495
     2.16739     1.18702
     2.19304     1.15781
     2.21869     1.12923
     2.24434     1.11284
     2.26999     1.07841
     2.29564     1.04828
     2.32129     1.02312
     2.34694     1.00355
     2.37259    0.977136
     2.39824    0.957449
     2.42389    0.943326
     2.44954     0.92269
     2.47519    0.915568
     2.50084    0.898135
     2.52649    0.894408
     2.55214    0.897605
