# DISTANCE    GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263           0
    0.884913  0.00143482
    0.910562   0.0222502
    0.936212    0.159326
    0.961861     0.55801
    0.987511     1.19962
     1.01316     1.85362
     1.03881     2.32679
     1.06446       2.572
     1.09011     2.56575
     1.11576        2.42
     1.14141     2.21957
     1.16706     2.00607
     1.19271     1.78278
     1.21836      1.6154
     1.24401     1.41973
     1.26966     1.26636
     1.29531      1.1412
     1.32096     1.04798
     1.34661    0.965726
     1.37226    0.884692
     1.39791    0.827764
     1.42355    0.778458
      1.4492    0.742362
     1.47485    0.720264
      1.5005    0.703078
     1.52615    0.694769
      1.5518    0.669824
     1.57745     0.66341
      1.6031    0.671008
     1.62875    0.682735
      1.6544    0.696462
     1.68005    0.718799
      1.7057    0.742751
     1.73135    0.775244
       1.757    0.811231
     1.78265    0.853805
      1.8083    0.900438
     1.83395    0.944652
      1.8596    0.985158
     1.88525     1.02901
      1.9109     1.07383
     1.93655     1.11145
      1.9622     1.14457
     1.98785     1.17163
      2.0135     1.20554
     2.03915     1.21927
      2.0648     1.23608
     2.09045     1.22083
      2.1161       1.226
     2.14174      1.2136
     2.16739     1.19558
     2.19304     1.16146
     2.21869     1.13336
     2.24434     1.10506
     2.26999     1.07939
     2.29564     1.05221
     2.32129     1.02945
     2.34694     1.00013
     2.37259    0.981913
     2.39824    0.961848
     2.42389    0.940785
     2.44954    0.933991
     2.47519    0.919976
     2.50084    0.904974
     2.52649    0.889775
     2.55214     0.88647
