# DISTANCE    GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263           0
    0.884913  0.00143482
    0.910562   0.0248293
    0.936212    0.164329
    0.961861    0.569958
    0.987511     1.21516
     1.01316     1.89243
     1.03881     2.36931
     1.06446     2.58204
     1.09011     2.57344
     1.11576     2.44119
     1.14141     2.23061
     1.16706     1.97142
     1.19271      1.7602
     1.21836     1.56745
     1.24401     1.38703
     1.26966     1.24277
     1.29531     1.11539
     1.32096     1.03155
     1.34661    0.958111
     1.37226    0.878206
     1.39791    0.826336
     1.42355    0.782304
      1.4492    0.743743
     1.47485    0.715732
      1.5005    0.694981
     1.52615     0.68355
      1.5518    0.684394
     1.57745    0.685477
      1.6031    0.688736
     1.62875    0.707422
      1.6544    0.711797
     1.68005    0.743877
      1.7057      0.7613
     1.73135    0.794964
       1.757    0.828982
     1.78265    0.854934
      1.8083    0.901812
     1.83395    0.946818
      1.8596    0.987118
     1.88525     1.03553
      1.9109     1.06763
     1.93655     1.10654
      1.9622     1.13921
     1.98785     1.17123
      2.0135     1.20213
     2.03915     1.20919
      2.0648     1.23282
     2.09045     1.22663
      2.1161     1.21352
     2.14174     1.20466
     2.16739     1.18259
     2.19304     1.14644
     2.21869     1.12752
     2.24434     1.09899
     2.26999     1.06693
     2.29564     1.03751
     2.32129     1.01133
     2.34694    0.992024
     2.37259    0.972552
     2.39824     0.95566
     2.42389    0.943252
     2.44954    0.927033
     2.47519    0.916124
     2.50084     0.90826
     2.52649     0.89857
     2.55214    0.893793
