# DISTANCE    GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263           0
    0.884913  0.00124968
    0.910562   0.0241299
    0.936212    0.171566
    0.961861    0.569528
    0.987511     1.20286
     1.01316     1.90372
     1.03881       2.363
     1.06446     2.60034
     1.09011      2.5886
     1.11576     2.42113
     1.14141     2.18994
     1.16706     1.96419
     1.19271     1.75391
     1.21836      1.5853
     1.24401     1.41059
     1.26966     1.25424
     1.29531     1.12828
     1.32096     1.02356
     1.34661     0.95981
     1.37226    0.877205
     1.39791    0.834645
     1.42355    0.789368
      1.4492    0.745141
     1.47485    0.720015
      1.5005     0.69965
     1.52615    0.694069
      1.5518     0.66993
     1.57745    0.679257
      1.6031    0.678412
     1.62875    0.693487
      1.6544    0.705679
     1.68005    0.733823
      1.7057    0.747622
     1.73135    0.787685
       1.757      0.8177
     1.78265    0.858652
      1.8083    0.911577
     1.83395    0.941721
      1.8596    0.989822
     1.88525     1.03922
      1.9109     1.06528
     1.93655     1.10226
      1.9622     1.13898
     1.98785     1.16939
      2.0135      1.2002
     2.03915     1.21873
      2.0648     1.22207
     2.09045     1.22641
      2.1161     1.21657
     2.14174     1.19863
     2.16739     1.18256
     2.19304     1.15561
     2.21869      1.1349
     2.24434     1.09714
     2.26999     1.08106
     2.29564     1.05084
     2.32129     1.01729
     2.34694    0.996611
     2.37259    0.982094
     2.39824    0.968679
     2.42389    0.946435
     2.44954    0.930131
     2.47519    0.918053
     2.50084    0.901415
     2.52649    0.892262
     2.55214    0.891155
