# DISTANCE    GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263 4.90889e-05
    0.884913 0.000879403
    0.910562   0.0262718
    0.936212    0.166728
    0.961861    0.558245
    0.987511     1.20936
     1.01316     1.86838
     1.03881     2.37697
     1.06446     2.55076
     1.09011     2.59165
     1.11576     2.43025
     1.14141     2.19929
     1.16706     1.99553
     1.19271     1.78711
     1.21836     1.57004
     1.24401     1.41539
     1.26966     1.26249
     1.29531     1.14379
     1.32096     1.04883
     1.34661    0.956152
     1.37226    0.883326
     1.39791    0.831807
     1.42355    0.777993
      1.4492    0.742483
     1.47485    0.706918
      1.5005    0.692567
     1.52615    0.678508
      1.5518     0.66719
     1.57745    0.671829
      1.6031     0.66603
     1.62875    0.686164
      1.6544    0.700316
     1.68005    0.731126
      1.7057    0.750013
     1.73135    0.783248
       1.757      0.8206
     1.78265    0.865484
      1.8083    0.900593
     1.83395    0.950083
      1.8596    0.988522
     1.88525     1.03201
      1.9109     1.07237
     1.93655     1.11415
      1.9622     1.14635
     1.98785     1.18488
      2.0135     1.20877
     2.03915     1.21804
      2.0648     1.23097
     2.09045     1.22734
      2.1161     1.22683
     2.14174     1.21126
     2.16739     1.17733
     2.19304     1.15439
     2.21869     1.12713
     2.24434       1.101
     2.26999     1.06792
     2.29564     1.04287
     2.32129     1.02065
     2.34694    0.994656
     2.37259    0.968206
     2.39824    0.950562
     2.42389    0.939168
     2.44954    0.929364
     2.47519    0.906067
     2.50084    0.904446
     2.52649    0.897355
     2.55214    0.897599
