# DISTANCE    GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263           0
    0.884913  0.00157367
    0.910562   0.0265778
    0.936212    0.176197
    0.961861    0.564709
    0.987511     1.21256
     1.01316     1.87488
     1.03881     2.35867
     1.06446     2.58162
     1.09011     2.61123
     1.11576     2.43202
     1.14141     2.22012
     1.16706     2.00147
     1.19271     1.77809
     1.21836     1.58254
     1.24401     1.41221
     1.26966     1.25572
     1.29531     1.15014
     1.32096     1.02245
     1.34661    0.946398
     1.37226     0.88602
     1.39791    0.816469
     1.42355     0.76449
      1.4492    0.729436
     1.47485      0.7114
      1.5005    0.675809
     1.52615    0.673217
      1.5518    0.681353
     1.57745    0.670591
      1.6031    0.675366
     1.62875    0.688596
      1.6544    0.698555
     1.68005    0.720391
      1.7057    0.750288
     1.73135    0.790212
       1.757    0.827761
     1.78265    0.865575
      1.8083    0.912275
     1.83395    0.946592
      1.8596    0.993868
     1.88525      1.0391
      1.9109     1.08088
     1.93655     1.10774
      1.9622     1.15615
     1.98785     1.17345
      2.0135     1.21008
     2.03915     1.21958
      2.0648     1.23818
     2.09045     1.23421
      2.1161     1.21675
     2.14174     1.20938
     2.16739     1.18641
     2.19304      1.1561
     2.21869     1.13665
     2.24434     1.10998
     2.26999     1.07078
     2.29564     1.04921
     2.32129     1.02252
     2.34694      0.9939
     2.37259    0.973357
     2.39824     0.95225
     2.42389    0.934801
     2.44954    0.918642
     2.47519    0.911729
     2.50084     0.89693
     2.52649    0.886641
     2.55214     0.88356
