# DISTANCE    GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263 0.000196355
    0.884913  0.00106454
    0.910562    0.024873
    0.936212    0.161393
    0.961861    0.574111
    0.987511     1.20055
     1.01316     1.88095
     1.03881     2.35534
     1.06446     2.58441
     1.09011     2.57203
     1.11576     2.42699
     1.14141     2.20991
     1.16706     1.97403
     1.19271      1.7825
     1.21836     1.57985
     1.24401     1.40811
     1.26966      1.2615
     1.29531     1.12718
     1.32096     1.04422
     1.34661    0.941701
     1.37226    0.888369
     1.39791    0.815968
     1.42355    0.791192
      1.4492    0.751767
     1.47485    0.731995
      1.5005    0.702515
     1.52615    0.685153
      1.5518    0.675378
     1.57745    0.688929
      1.6031    0.684434
     1.62875    0.692025
      1.6544    0.713094
     1.68005    0.728262
      1.7057    0.763692
     1.73135    0.783018
       1.757    0.826963
     1.78265    0.857454
      1.8083    0.891094
     1.83395    0.935234
      1.8596    0.977769
     1.88525     1.02597
      1.9109     1.06077
     1.93655     1.08839
      1.9622     1.13502
     1.98785      1.1748
      2.0135     1.18898
     2.03915      1.2218
      2.0648     1.23082
     2.09045     1.22268
      2.1161     1.21942
     2.14174     1.21415
     2.16739     1.19225
     2.19304     1.17236
     2.21869     1.14433
     2.24434      1.1102
     2.26999     1.07572
     2.29564     1.05373
     2.32129     1.02318
     2.34694      1.0004
     2.37259    0.972191
     2.39824    0.954028
     2.42389      0.9425
     2.44954    0.924296
     2.47519    0.910587
     2.50084    0.903316
     2.52649    0.892858
     2.55214    0.886186
