# Temperature U U_error
0.5 -0.973983 0.000604754
0.6 -0.93542 0.000414343
0.7 -0.89225 0.000287058
0.8 -0.84854 0.000238867
0.9 -0.804658 0.000187151
1 -0.761742 0.000150001
1.1 -0.721008 0.000161538
1.2 -0.682457 0.000153528
1.3 -0.646671 0.00016696
1.4 -0.613542 0.000135782
1.5 -0.582805 0.000124849
1.6 -0.554741 0.000140878
1.7 -0.52872 0.000153503
1.8 -0.504704 0.000114085
1.9 -0.482669 0.000113515
